ebn0_db,worker_id,frame_idx,legacy_success,legacy_detected_failure,success_exact,valid_codeword,undetected_error,stop_iteration,final_syndrome_weight,runtime_ms
8.0,38,22,0,1,0,0,0,12,116,28.89088192023337
8.0,38,23,0,1,0,0,0,12,128,29.002300929278135
8.0,38,24,0,1,0,0,0,12,125,29.134280048310757
8.0,38,25,0,1,0,0,0,12,133,28.977181063964963
8.0,38,26,0,1,0,0,0,12,140,29.027340933680534
8.0,38,27,0,1,0,0,0,12,136,28.970972169190645
8.0,38,28,0,1,0,0,0,12,128,29.019390931352973
8.0,38,29,0,1,0,0,0,12,120,29.005541000515223
8.0,38,30,0,1,0,0,0,12,130,28.97660108283162
8.0,38,31,1,0,1,1,0,3,0,8.0044309142977
8.0,38,32,0,1,0,0,0,12,125,28.909921878948808
8.0,38,33,1,0,1,1,0,3,0,8.020390989258885
8.0,38,34,1,0,1,1,0,3,0,7.97456200234592
8.0,38,35,0,1,0,0,0,12,120,28.747112024575472
8.0,38,36,1,0,1,1,0,5,0,12.69663986749947
8.0,38,37,0,1,0,0,0,12,132,28.929242165759206
8.0,38,38,0,1,0,0,0,12,133,32.12903602980077
8.0,38,39,1,0,1,1,0,3,0,8.531318977475166
8.0,38,40,0,1,0,0,0,12,126,28.928511077538133
8.0,38,41,0,1,0,0,0,12,118,28.904792154207826
8.0,38,42,0,1,0,0,0,12,128,29.103149892762303
8.0,38,43,0,1,0,0,0,12,117,29.20163096860051
8.0,38,44,0,1,0,0,0,12,143,29.317958978936076
8.0,38,45,0,1,0,0,0,12,134,28.892592061311007
8.0,38,46,1,0,1,1,0,10,0,24.354203138500452
8.0,38,47,0,1,0,0,0,12,132,28.90283102169633
8.0,38,48,1,0,1,1,0,8,0,19.650446018204093
8.0,38,49,0,1,0,0,0,12,134,28.85078196413815
8.0,38,50,1,0,1,1,0,7,0,17.223577946424484
8.0,38,51,1,0,1,1,0,3,0,7.983731105923653
8.0,38,52,0,1,0,0,0,12,125,28.9520809892565
8.0,38,53,0,1,0,0,0,12,130,29.13944097235799
8.0,38,54,1,0,1,1,0,3,0,8.147270884364843
8.0,38,55,0,1,0,0,0,12,123,28.90720102004707
8.0,38,56,0,1,0,0,0,12,123,28.741552960127592
8.0,38,57,1,0,1,1,0,6,0,15.105657046660781
8.0,38,58,0,1,0,0,0,12,126,28.879021992906928
8.0,38,59,0,1,0,0,0,12,141,28.732141945511103
8.0,38,60,0,1,0,0,0,12,126,29.66336812824011
8.0,38,61,1,0,1,1,0,6,0,15.0053680408746
8.0,38,62,1,0,1,1,0,4,0,10.32143086194992
8.0,38,63,0,1,0,0,0,12,130,28.857100987806916
8.0,27,0,0,1,0,0,0,12,117,51.83984199538827
8.0,27,1,0,1,0,0,0,12,127,29.632888035848737
8.0,27,2,0,1,0,0,0,12,124,29.759906930848956
